kereta lembu               bullock cart
kereta sewa                taxi
keretapi                   train
kering                     dry
kerja                      work, job, business, profession
kertas                     paper
kertas tulis               writing paper
kerusi                     chair
kes                        case
kesalahan                  error; fault; mistaken; to blame
kesan                      impression
keselamatan                security
kesempatan                 opportunity
kesepakatan                deal
kesini                     to here
kesulitan                  difficulty
ketakutan                  fear
ketam                      (1) crab (2) plane (3) harvest
ketika                     when, as, during, while
ketua                      chief
keuntungan                 profit
khabar                     news
khuatir                    worry; afraid
khusus                     specific; special; especially
kicap                      soy sauce
kilat                      lightning
kini                       nowadays; presently
kira                       to calculate; to count
kiri                       left (opposite of right)
kirim                      send
kita                       we (inclusive of everyone)
kod                        code
kode                       code
komputer                   computer
kondisi                    condition
konyol                     incompetent
kopi                       coffee
korban                     sacrifice
kosong                     empty, hollow
kota                       fort, city, town
kotak                      a chest, a locker, box
kotor                      dirty, filthy, foul (of persons, clothes, utensils ... etc)
kotoran                    dirt; stain
krim                       cream
ksatria                    knight
kuala                      estuary, confluence
kuali                      cooking pan, frying-pan, wok
kuasa                      power; authority
kuat                       strong, vigorous
kubilang                   I say
kubis                      cabbage
kucing                     cat
kuda                       horse
kue                        cake; pastry; cookie
kuil hindu                 Hindu temple
kukatakan                  I say
kuki                       cook (noun)
kukira                     I suppose
kuku                       nail, claw, hoof, talon
kuliah                     lecture
kulit                      skin; leather
kumbang                    beetle
kumpulan                   body; group
kunci                      key; lock
kuning                     yellow
kuno                       ancient
kuntum                     normal classifier for flowers
kunyit                     turmeric, saffron
kupang                     ten cents
kurang                     less
kursi                      chair
kurus                      thin, skinny
labah-labah                spider
lada                       pepper
lada putih                 white pepper
lagi                       more, yet
lagi suka                  to prefer
lagu                       song
lah                        emphasising word, suffix
lahir                      to give birth
lain                       other, different
lain kali                  next time, another time
laki                       husband
laki-laki                  male
lakukan                    to do
lalat                      housefly
lalu                       last, then, ago
laluan                     route
lama                       ancient, long, old
lambat                     slow
lambat-lambat              slowly
lampu                      light; lamp
langgar                    to attack, to collide, ram
langit                     sky
langkah                    step; measure (noun)
langsung                   direct (non-stop)
lantai                     floor
lapan                      eight
lapan belas                18
lapan puluh                80
lapangan                   field
lapar                      hungry
laporan                    a report
lari                       to run, to flee, run away
latihan                    training; exercise; practice
laut                       sea
lawan                      opponent; oppose; rival
lebah                      honey-bee
lebih                      more, superior, greater
lebih kurang               more or less, about
leher                      neck
lekas                      quickly, promptly
lelah                      tired
lelaki                     male; man
lelucon                    gag
lemah                      weak
lemari                     cupboard
lembu                      cow, ox, bull
lembut                     soft
lengah                     to delay, waste time, to idle
lengan                     arm, sleeve
lepas                      after, beyond; last (preceding)
lepas itu                  after that, afterwards
letnan                     luff
lewat                      late, behind time
liar                       wild
lihat                      see; look
lihatlah                   look!
lilin                      candle, wax
lima                       five
lima belas                 15
lima puluh                 50
lindungi                   protect
lipan                      centipede
lipas                      cockroach
listrik                    electricity
lokasi                     location
lombong                    a mine; to mine
lombong bijih timah        tin mine
lompat                     to jump, leaping
longkang                   drain, ditch, cesspool
loteri                     lottery
luar                       outside
lubang                     hole
lucu                       funny
luka                       wound, scratch
lukisan                    painting
lulus                      pass, get through, approve
lulus dalam                to pass (examination)
lupa                       to forget
lupakan                    forget about
lusa                       the day after tomorrow
maaf                       sorry
maafkan                    to excuse, to forgive
mabuk                      drunk
macam                      kind, sort, like
macam ini                  like this,  this way
macam itu                  like that, that way
macam mana                 how
macan ini                  like this, this way
madu                       honey
mahal                      dear, expensive
mahasiswa                  student
mahu                       to want, wish
mahukan                    want
main                       play
maju                       advanced; go forward; advance
makan                      to eat, consume
makan pagi                 breakfast; to have breakfast
makanan                    food
makhluk                    creature
maklumat                   information
maksud                     purpose; intention
maksudkan                  mean
maksudku                   I mean
maksudnya                  meaning
malam                      night, dark
malam semalam              last night
malang                     unlucky
malas                      lazy, idle, sluggish
malu                       ashamed; shame
mampu                      capable; to be able; to afford
mana                       which; where
mana-mana                  anywhere
mandi                      bathe
mangkuk                    bowl
manis                      sweet
mantan                     former
manusia                    human being
marah                      angry
mari                       come, come here
marilah                    let
masa                       time, era
masak                      (1) to cook; cooked (2) ripe, mature
masalah                    problem
masam                      sour, acid
masanya                    time
masih                      still
masing                     their
masjid                     mosque
masuk                      to enter
masukkan                   enter; put inside
masuklah                   go
masyarakat                 community
mata                       eyes
mata-mata                  policeman
matahari                   the sun
matamu                     eyes
matanya                    eyes
mati                       dead, stopped
matikan                    turn off
maukah                     Will
mayat                      body; corpse
meja                       table
melakukan                  do, perform, carry out
melalui                    by way of; via
melanggar                  violate
melanjutkan                extend
melarikan diri             run away
melayani                   serve
melayu                     Malay
melihat                    see; look; observe
melompat                   jump
melupakan                  forget
memahami                   understand
memakai                    wear; use
memalukan                  embarrassing
memang                     indeed; of course
memasak                    cook
memasuki                   enter
mematikan                  turn off
membaca                    read, to read
membakar                   burn
membangun                  develop; awaken; build
membantu                   help
membantumu                 help
membawa                    carry; bring
membawaku                  took
membawamu                  brought
membayangkan               imagine
membayar                   pay
membebaskan                release
membeli                    buy
membenci                   hate
memberi                    give
memberiku                  gave
memberitahu                notify; inform
membersihkan               clean
membiarkan                 let; desert
membicarakan               discuss
membosankan                boring
membuang                   waste
membuat                    make, create
membuatku                  made me
membuka                    open
membuktikan                prove
membunuh                   kill
memegang                   hold; grasp
memenangkan                win
memenuhi                   meet
memerlukan                 to need; require
memikirkan                 to think; to consider
memilih                    to choose
memiliki                   have, own, possess
memilikinya                have
memimpin                   lead (be a leader)
meminta                    ask for (request)
memori                     memory
memotong                   cut; slice
memperbaiki                improve
mempercayai                believe
mempertahankan             defend
mempunyai                  have; own; possess
memuat                     load
memukul                    hit; strike; o'clock
memutuskan                 to decide; to determine
menahan                    hold
menakjubkan                spectacular
menakutkan                 scary
menang                     to win, succeed
menangani                  handle
menangis                   cry
menangkap                  arrest; catch; capture
menanyakan                 ask
menara                     tower
menari                     dance
menarik                    interesting
menaruh                    put
menawarkan                 offer (suggest opinion or service)
mencapai                   achieve; reach; attain
mencari                    look for; search
mencarinya                 search
menceritakan               tell
mencintai                  to love
mencintainya               love
menciptakan                create
mencium                    kiss
mencuba                    try
mencuri                    to steal
mendapat                   get; reach; attain; to be able
mendarat                   landed
mendengar                  hear
menderita                  suffer
menelefon                  call
menelepon                  to call; to telephone
menembak                   shoot
menempatkan                house; to (put) place
menemui                    meet
menemukan                  find, discover
menendang                  kick
menengah                   moderate, intermediate , secondary (education)
menerima                   receive; accept
mengagumkan                amaze
mengajar                   to teach
mengakui                   acknowledge
mengalahkan                beat; to defeat
mengalami                  an experience
mengambil                  take; fetch
mengambilnya               take
mengapa                    why; what for
mengatakan                 to say
mengatur                   to arrange; to organize
mengawal                   guard
mengawasi                  oversee
mengejar                   chase
mengeluarkan               issue
mengenai                   concerning; about (regarding)
mengenal                   identify
mengendalikan              control
mengerti                   understand
mengetahui                 know; to have or get knowledge of
mengganggu                 interfere; disturb
menggunakan                use
menggunakannya             use
menghabiskan               to spend; to finish
menghadapi                 face; confront
menghantar                 send
mengharapkan               expect
menghilang                 disappear
menghormati                respect
menghubungi                contact
mengikuti                  follow; go along (join in)
mengingat                  remember
mengingatkan               remind
mengira                    think
mengirim                   send
mengirimkan                send
mengisi                    fill
mengubah                   to change; to transform
mengucapkan                pronounce; say something
mengumpulkan               collect
mengurus                   manage
menikah                    married; get married
menikmati                  enjoy
meninggal                  pass away
meninggalkan               leave behind; desert; abandon
menipu                     cheat
menjadi                    be, become
menjaga                    keep; guard
menjauh                    away
menjawab                   respond, answer
menjelaskan                explain
menjual                    to sell
menolak                    reject; decline (refuse)
menolong                   help
menonton                   watch; observe
mentah                     unripe, uncooked, raw
mentega                    butter
menteri                    minister
menuju                     head for (toward)
menulis                    write; compose
menunggu                   wait; wait for
menunjukkan                show; to demonstrate
menurut                    by; according to
menurutku                  followeth
menutup                    close; cover
menyakiti                  hurt
menyakitkan                painful
menyanyi                   sing
menyebab                   to cause
menyedari                  realize
menyelamatkan              save; rescue
menyelesaikan              to solve (a problem)
menyembunyikan             to hide
menyenangkan               pleasant; enjoyable
menyentuh                  touch; to touch
menyerah                   surrender
menyerahkan                submit
menyerang                  attack
menyesal                   to regret
menyimpan                  to store; to keep
menyukai                   to like
merah                      red
merah tua                  dark red
merasa                     feel; taste
merasakan                  feel; taste
mereka                     they; them
merokok                    smoke
merubah                    change
merusak                    dislocate
mesin                      machine
meskipun                   although; though
mesti                      must
meyakinkan                 convince
mil                        mile
milik                      possession; property
militer                    military
mimpi                      a dream; to dream
minggir                    Out of the way
minggu                     week
minggu depan               next week
minggu lepas               last week
minit                      minute
minta                      to ask for, to request
minum                      to drink
minuman                    drinks; a drink
minyak                     oil
mirip                      similar
misi                       mission
miskin                     poor
misteri                    mystery
mobil                      car
mohon                      ask; beg; plead
monyet                     monkey
muda                       young, unripe, light
mudah                      easy
mujur                      fortunate, lucky
mujurlah!                  that's lucky!
muka                       face
mula                       start; begin
mula-mula                  first of all
mulai                      to begin, start, commence
mulakan                    start
mulia                      noble
mulut                      mouth
muncul                     appear; emerge
mundur                     backward; underdeveloped
mungkin                    may, possible, likely
murah                      cheap, generous, liberal
murid                      pupil
musik                      music
musim                      season
musim bunga                spring
musim gugur                autumn
musim panas                summer
musim sejuk                winter
mustahil                   impossible; incredible
musuh                      enemy
muzik                      music
muzium                     museum
nafas                      breath
naga                       dragon
naik                       ascend, mount, climb
nak                        to want, wish
nak ke                     to be off to
nakal                      naughty
nama                       name
namaku                     my name is
nampak                     to see, to catch sight of
namun                      however; nevertheless
nanti                      (1) later (2) wait for
nantikan                   to wait for
nasi                       cooked rice
nasib                      fate
negara                     country
negeri                     state, motherland
negeri johor               Johor
negeri kedah               Kedah
negeri kelantan            Kelantan
negeri melaka              Malacca
negeri pahang              Pahang
negeri perak               Perak
